B1,B2,B3,B4,Label
-78.75,-88.67,-77,-64.5,Empty
-80.25,-88.5,-78.33,-64.5,Empty
-80.25,-88.5,-78.33,-64.75,Empty
-77.5,-89,-81.33,-64.75,Empty
-77.5,-89,-81.33,-65.33,Empty
-79.25,-90,-79,-65.33,Empty
-79.25,-90,-79,-63.67,Empty
-81,-90.67,-82,-63.67,Empty
-81,-90.67,-82,-62.33,Empty
-80.67,-92.33,-79.75,-62.33,Empty
-80.67,-92.33,-79.75,-61,Empty
-79.67,-92.33,-77.5,-61,Empty
-79.67,-92.33,-77.5,-61.5,Empty
-79,-89.33,-75.25,-61.5,Empty
-79,-89.33,-75.25,-62.25,Empty
-77.33,-88,-73.25,-62.25,Empty
-77.33,-88,-73.25,-63,Empty
-75.67,-85.67,-73.25,-63,Empty
-75.67,-85.67,-73.25,-63.75,Empty
-74,-86.5,-73.75,-63.75,Empty
-74,-86.5,-73.75,-64.5,Empty
-74,-88,-73.75,-64.5,Empty
-74,-88,-73.75,-65,Empty
-75.75,-88,-73.5,-65,Empty
-75.75,-88,-73.5,-65.5,Empty
-77.5,-89,-79.5,-65.5,Empty
-77.5,-89,-79.5,-64.75,Empty
-83.25,-89.5,-81.25,-64.75,Empty
-83.25,-89.5,-81.25,-69.25,Empty
-84.5,-91.5,-84,-69.25,Empty
-84.5,-91.5,-84,-68,Empty
-84,-91.67,-84,-68,Empty
-84,-91.67,-84,-68.67,Empty
-87.75,-90.5,-76.33,-68.67,Empty
-87.75,-90.5,-76.33,-69.67,Empty
-83.25,-89.25,-73.33,-69.67,Empty
-83.25,-89.25,-73.33,-63,Empty
-82.25,-88,-73.25,-63,Empty
-82.25,-88,-73.25,-70.67,Empty
-81.25,-86.75,-73.25,-70.67,Empty
-81.25,-86.75,-73.25,-69.75,Empty
-75.75,-87.25,-78,-69.75,Empty
-75.75,-87.25,-78,-70.25,Empty
-76.25,-88.5,-78,-70.25,Empty
-76.25,-88.5,-78,-70.5,Empty
-77.75,-88.67,-80.25,-70.5,Empty
-77.75,-88.67,-80.25,-65.75,Empty
-79.25,-90.33,-82.67,-65.75,Empty
-79.25,-90.33,-82.5,-64.25,Empty
-84.75,-91.67,-79.5,-64.25,Empty
-84.75,-91.67,-79.5,-63,Empty
-84.25,-93,-81.67,-63,Empty
-84.25,-93,-81.67,-62,Empty
-83.75,-92.75,-81.5,-62,Empty
-83.75,-92.75,-79,-61,Empty
-83.25,-91.5,-79,-61,Empty
-83.25,-91.5,-76,-61.5,Empty
-78,-90,-73.5,-61.5,Empty
-78,-90,-73.5,-67,Empty
-77.25,-88.25,-73.5,-67,Empty
-77.25,-88.25,-73.33,-67.5,Empty
-76.25,-87,-73.33,-67.5,Empty
-76.25,-87,-73,-68.5,Empty
-75.25,-87.75,-73,-68.5,Empty
-75.25,-87.75,-73.33,-69.25,Empty
-76.75,-88.75,-73.33,-69.25,Empty
-76.75,-88.75,-73.5,-64.75,Empty
-78,-89.75,-73.5,-64.75,Empty
-78,-89.75,-75.5,-65.5,Empty
-79.5,-90.25,-75.5,-65.5,Empty
-79.5,-90.25,-76.25,-64.5,Empty
-85.5,-90.5,-76.25,-64.5,Empty
-85.5,-90.5,-78.25,-63.25,Empty
-85,-90.5,-78.25,-63.25,Empty
-85,-90.5,-78,-62.25,Empty
-84.5,-90.33,-78,-62.25,Empty
-84.5,-90.33,-76.25,-61.75,Empty
-84,-89.67,-76.25,-61.75,Empty
-84,-89.67,-75.5,-62.5,Empty
-77.75,-89,-75.5,-62.5,Empty
-77.75,-88.67,-73.5,-63.25,Empty
-76.5,-87.5,-73.5,-63.25,Empty
-76.5,-87.33,-73.5,-70.5,Empty
-75.5,-87.33,-73.5,-70.5,Empty
-75.5,-87.5,-73.5,-70.75,Empty
-76,-87.67,-73.5,-70.75,Empty
-76,-88.25,-73.5,-71.25,Empty
-78.25,-88.33,-73.5,-71.25,Empty
-78.25,-89.5,-75.25,-71.75,Empty
-80,-89.5,-75.25,-71.75,Empty
-80,-90.5,-77.5,-64.5,Empty
-81.5,-90.5,-77.5,-64.5,Empty
-81.5,-91.5,-79.25,-69.25,Empty
-85.5,-91.5,-79.25,-69.25,Empty
-85.5,-92.25,-81.5,-68,Empty
-86.33,-92.25,-81.5,-68,Empty
-84.25,-92.25,-79.5,-66.75,Empty
-85.33,-92.25,-79.5,-66.75,Empty
-84,-92.67,-77.5,-67.5,Empty
-85,-92.67,-77.5,-67.5,Empty
-85,-91,-75.5,-62.5,Empty
-85,-91,-75.5,-62.5,Empty
-77.67,-89.33,-73.25,-63.25,Empty
-77.67,-89.33,-73.25,-63.25,Empty
-83,-87.67,-73.25,-64.5,Empty
-83,-87.67,-73.25,-64.5,Empty
-81,-88,-73.5,-64.67,Empty
-81,-88,-73.5,-64.67,Empty
-81,-88.33,-73.67,-65,Empty
-81,-88.33,-73.67,-65,Empty
-82.5,-89,-76.67,-65.67,Empty
-82.5,-89,-76.67,-65.67,Empty
-79.25,-89.33,-79.67,-64,Empty
-79.25,-89.33,-79.67,-64,Empty
-81,-89.67,-82,-63.25,Empty
-81,-89.67,-82,-63.25,Empty
-81,-89.67,-85.25,-68,Empty
-81,-89.67,-85.25,-68,Empty
-80.33,-90.67,-83.25,-74,Empty
-80.33,-90.67,-83.25,-74,Empty
-80,-91.5,-83.67,-74.75,Empty
-80,-91.5,-83.67,-74.75,Empty
-76.5,-89,-80.67,-75.5,Empty
-76.5,-89,-80.67,-75.5,Empty
-76,-88.33,-73.33,-70.25,Empty
-76,-88.33,-73.33,-70.25,Empty
-74.67,-88,-73,-64.5,Empty
-74.67,-88,-73,-64.5,Empty
-74.5,-88.25,-73,-64.75,Empty
-74.5,-88.25,-73,-64.75,Empty
-77,-89.25,-73,-65.25,Empty
-77,-89.25,-73,-65.25,Empty
-78.5,-90.75,-74.75,-66.25,Empty
-78.5,-90.75,-74.75,-66.25,Empty
-80,-91.75,-76.75,-64.75,Empty
-80,-91.75,-76.75,-64.75,Empty
-82.5,-92.25,-79,-64.67,Empty
-82.5,-92.25,-79,-69.5,Empty
-81.5,-93.25,-83.5,-70.67,Empty
-81.5,-93.25,-83.5,-68.5,Empty
-81,-94,-81.75,-69,Empty
-81,-94,-81.75,-67.5,Empty
-80.5,-93.33,-79.75,-69.67,Empty
-80.5,-93.33,-79.75,-68.25,Empty
